Link to Explanations,,,Theme,,,Data,,,,,,Sematic,,Context,,,,,,,Visual Annotation,,,Visual Layout,,,,,,,,Visual Encoding Channels,,,,,,,,,,,,Visual Marks,,,,,,,,,
,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Week,Who,Internal: Self-Reflection,External: People,External: Physical Objects/Environments,Nominal,Ordinal,Numerical,Temporal,Intensity or Amount or Frequency,Geocoord (approximate),Relationship,Group,Who/Whom,Where,When,//Exact Time Recorded,Why,What,How,Personal Input,Highlighting,Attribute,List,Grid,Stacked,Radial,Tree,Network,Facet,Freeform,Shape,Position,Size,Color,Weight/boldness,Texture,Orientation,Stroke,Connection,Containment/Enclosure,Onomatopoeia,Fill/NoFill,Dot,Line,Rect,Triangle,Circle,Repeat,Area,Glyph,Real Object,Personal
productivity / schedules,14,Stefanie,,xx,x,x,,x,,,,,,,,,new,,x,x,,,,,,,,x,xxx,x,,,,,x,,,,,?,,,,,x,,,,x,,,,new
compliments,15,Giorgia,,x,xx,x,,,x,,,,,x,,,,,x,x,,,?,,,,,,,x,x,x,,,x,,,,,,,,,x,x,x,,,,,x,,
compliments,15,Stefanie,,x,,x,,,x,,,,,x,,x,,,x,,,,,xxx,x,x,,,,,,x,x,,x,,x,,,,,,,,,,,x,,,x,,new
wardrobe,16,Giorgia,,,x,x,xx,,,,,x,x,x,x,,,,x,,,,x,x,x,,,,,x,x,x,x,x,x,,,,,x,x,,,x,x,,,,,,x,,new
wardrobe,16,Stefanie,,,x,x,x,,,x,,,,,xx,,,,x,x,,xxx,,x,,,,,,,,,x,,x,,x,,,,,,,,x,,,,,,,,new
food preferences,17,Giorgia,,,x,x,,x,,,,,,,,,,,x,x,new,x,x,xxx,xx,,,,,x,,x,,x,x,,x,,,,,,,x,x,,,,,,x,,
food preferences,17,Stefanie,,,x,x,x,,,,,,,,,,,,x,x,new,x,,xxx,x,x,,,,,,,,,x,,x,,,,,,,,,,x,,,,,,
drinks,18,Giorgia,,,x,x,x,x,x,,,,,x,x,x,new,,x,x,new,x,x,xxx,x,,,,x,,,x,x,x,x,,,x,,x,x,,xxx,x,x,,,x,x,,x,,
drinks,18,Stefanie,,,x,x,x,,x,,,,,,,x,new,x,x,x,new,xxx,x,xxx,x,,,,,,,,x,x,x,,,,,,,,,,,x,,,x,,,,
beauty and make up,19,Giorgia,,,x,x,x,,x,,,,x,,x,x,,,x,x,,x,x,x,,,,,x,,,x,,,x,,,,,x,x,,,x,x,,,,,,x,x,new
beauty and make up,19,Stefanie,,,x,x,,,,,,,,,,,,,x,x,,x,x,,,,xxx,x,,,,x,,,x,,,,,,,,,,x,x,,,,,x,,
interesting things,20,Giorgia,,xx,x,x,,x,x,x,,,,x,,x,,x,x,x,new,x,x,x,,,,,,,x,x,x,,x,,x,,x,,,,,x,x,,,,,,x,x,new
interesting things,20,Stefanie,,,x,x,,,,,,,,,x,,,x,x,x,new,,,xx,,x,,,,xxx,,,,,x,,,,,,,,,,x,x,,,,,,,new
our cities,21,Giorgia,,,x,x,x,,,,x,,,,x,,,,x,x,,x,,,x,,,,x,,,x,x,x,x,new,,,,x,,x,,x,x,,,,,x,x,,new
our cities,21,Stefanie,,,x,x,,,x,,x,x,,,x,x,,x,x,,,x,,,x,,,,x,,,,x,,x,,,,,x,,,x,x,x,,,x,,,,,new
my past,22,Giorgia,,xx,x,x,,x,x,x,,,,x,x,x,,x,x,x,,,,,,,x,,,,,x,x,x,,,,,,,,,,x,x,,,x,x,,x,,new
my past,22,Stefanie,,,x,x,,,x,,,,,,x,x,,,x,,new,,,xxx,x,,,,,,,,x,x,x,,,,,?,,,,,x,x,,,,,,,
being nicer,23,Giorgia,,x,,x,x,,,,,x,,x,,x,,,x,x,new,x,x,,,,,,x,x,x,x,,,x,,,x,,x,,,,x,x,,,,,,x,,new
being nicer,23,Stefanie,,x,,x,,,,,,,,x,x,,,,x,,,,,,,,,,,,x,x,,,x,,,,,,,,,x,,,,x,,,x,,
doors/spaces,24,Giorgia,,,x,x,,,x,,,,,,x,x,,,x,,,x,x,xx,xxx,,,,,,,x,x,,x,,,,,,,,,x,x,x,,,,,x,,new
doors/spaces,24,Stefanie,,,x,x,,,x,,,,,,x,x,,,x,,,,,xxx,x,xxx,,,,,,,x,,x,,,,,,,,,,x,,,,,,,,
friends,25,Giorgia,,x,,x,,x,x,,,x,,x,,x,,,x,x,new,x,x,,xx,,,x,x,,,x,x,x,x,,x,,x,x,,,,x,x,,,x,,,x,,new
friends,25,Stefanie,,x,,x,,,,,,,,x,x,,,,x,x,new,x,,,,,x,x,,,,,x,,x,,,,,x,,,,x,x,x,,,,,,,
workspace,26,Giorgia,,,x,x,x,,,,,x,,x,x,,,,x,,new,,,,x,,,,,,,x,x,x,xxx,new,,,,x,,,,x,x,x,x,x,x,,x,,new
workspace,26,Stefanie,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,x,,,,,,,,x,,,,,x,,,,,
media,27,Giorgia,,xx,x,x,,x,,,,,,x,,,,,x,x,,x,x,,,,,x,,x,,x,x,x,x,,,,,x,,,x,x,x,,,,,,x,,new
media,27,Stefanie,,,x,x,,,,,,,,,,,,,x,,,,,x,xxx,x,,,,,,,,,x,,x,,,x,,,,,x,,,x,,,,,
smiling at strangers,28,Giorgia,,x,,x,x,,xxx,,,,,x,x,xxx,,,x,x,new,x,xxx,xxx,x,,,,,x,,x,x,x,x,,,,,,,,,x,,,,,,,x,,
smiling at strangers,28,Stefanie,,x,,x,,,xxx,,,,,x,x,xxx,new,,x,,,x,,,x,,,,,,,,x,,x,,x,x,,,,,,,,,x,,,,,,
boyfriend,29,Giorgia,xx,x,,x,x,,x,,,,,xx,,x,,,x,x,new,x,x,x,,,,,x,x,x,x,x,x,x,,,,,x,,,,x,x,,,,,,x,,
boyfriend,29,Stefanie,xx,x,,x,,,x,,,,,x,,x,,,x,,new,x,,x,,,,,,,,,x,,x,,,x,,,,,,,,,,,,,x,,
our time alone,30,Giorgia,xx,,x,x,,,x,,,,,,x,x,new,,x,x,new,x,x,,x,x,,,,,,,x,x,x,,,,,,,,,x,x,,,,,,x,,
our time alone,30,Stefanie,xx,,x,x,,,x,,,,,,,x,new,,x,x,new,x,,xxx,x,,,,,,,,x,x,x,,,,,,x,,,,,x,,,,,,,
positive feelings,31,Giorgia,x,xx,xx,x,,,,,,,,x,,,,x,x,?,new,x,x,x,,x,,,,,,x,,,x,,,,,,,,,x,x,,,,,,x,,new
positive feelings,31,Stefanie,x,xx,xx,x,x,,,,,,,x,,,,x,x,xx,new,,,,,,x,,,,x,x,,,x,,,,,,,,,,x,,,x,,,x,,new
sounds,32,Giorgia,,xx,x,x,xx,,x,,,,,xx,x,x,new,,x,x,,x,x,xxx,x,,,,,,,x,x,x,x,,,,,,,,,,x,,,,,,x,,new
sounds,32,Stefanie,,xx,x,x,,,xxx,,,,,,x,x,new,,x,,,,,,x,x,,,,,,,x,,x,,,,,,,,,,,,,,,,x,,
envy,33,Giorgia,x,xx,,x,x,x,,x,,,,x,,,,x,x,x,new,,x,,x,,,,,,,,x,x,x,,,,,,,,,x,x,,,,,,x,,new
envy,33,Stefanie,x,xx,,x,,,,,,,,x,,,,x,x,?,new,,,x,xxx,,,,,xxx,xx,x,,,x,,,,,,,,,,,,,x,,,,,new
urban wildlife,34,Giorgia,,,x,x,,x,,,,,,x,,,,,x,x,new,x,x,x,xxx,,,,,x,,x,,x,x,new,xx,x,x,,,,,x,x,,x,x,x,,x,,new
urban wildlife,34,Stefanie,,,x,x,,,,,,,,,x,,,,x,,,,,,,,x,,,,,,x,x,x,,,,,,,,,,x,,,,,,x,,
getting dressed,35,Giorgia,,,x,x,,x,x,,,,,,,x,new,,x,x,,,x,xxx,x,,,,,,,x,x,x,x,,x,xx,x,,,,,,x,,,,,,x,,
getting dressed,35,Stefanie,,,x,x,x,,x,,,,,,x,x,,,x,,,,,xxx,x,,,,,,,,x,,x,,,,,,,,,,x,,,,,,,,
indecision,36,Giorgia,x,,,x,,x,,,,,,x,,,,,x,x,new,x,x,,,,,,,xxx,x,,x,x,x,,x,x,,,,,,x,x,,,x,x,,,,new
indecision,36,Stefanie,x,,,x,,,x,,,,,,,x,,,x,x,new,x,,xxx,xx,xxx,,,,,,,x,,x,,,,,x,,,,x,x,,,,,,,,
swearing,37,Giorgia,,x,,x,x,,,,,,,x,,,,,x,x,,,x,x,,,,,,x,x,x,,x,x,,x,,,,,,,x,x,,,,,,x,,new
swearing,37,Stefanie,,x,,x,,,,,,,,x,,,,,x,x,,x,,,x,,,,,x,,x,,,x,,,,,,,,,,x,,,,,,,,
negative thoughts,38,Giorgia,x,,,x,x,x,,,,x,,,,?,,x,x,x,new,,x,,,,x,,x,,x,,,x,x,,,,,x,,,,x,x,,,,,,x,,new
negative thoughts,38,Stefanie,x,,,x,,,,,,,,x,,,,,x,,new,x,,,,x,,,,x,,,,,x,,,,,,,,,,,,,x,,,,,new
beauty,39,Giorgia,,xx,x,x,x,,,,,,,x,,,,x,x,x,new,x,x,xx,,,x,,,xxx,x,,,x,x,,x,,,,,,,x,x,,,x,,,x,,new
beauty,39,Stefanie,,xx,x,x,,,,,,,,,x,,,,x,,new,,,x,,,,,,x,,,,,x,,,,x,,,,,,x,,,,,,,,
meeting new people,40,Giorgia,,x,,x,,,x,,,,,x,xx,x,,,,x,,x,x,,x,,,,,,,x,x,,x,,,x,,x,,,,x,x,x,,,,,x,,new
meeting new people,40,Stefanie,,x,,x,,,,,,,,x,,,,,x,x,,xxx,,,,x,,,,x,,x,,,x,,,,,,,,,,x,,,,,,x,,
music,41,Giorgia,,,x,x,,,,,,,,,,,,,x,,new,,x,,x,x,,,,,,,x,,x,,,,,,x,,,x,x,,,,,,,,
music,41,Stefanie,,,x,x,,,x,,,,,,,x,,,x,,new,,x,xxx,x,xxx,,,,x,,,,,x,,,,,,,,,,,,,x,,,,,
